W,H,X,Y
15,17,680.3,306
16,20,892.3,253
17.0999999999999,23.1,897.2,273.9
16.0999999999999,24.1,904.2,294.9
21.8,18.1,882.2,296.9
26,16,878.3,299
20.0999999999999,16.1,856.2,286.9
16.0999999999999,13.1,841.2,280.9
17.0999999999999,15.1,830.2,276.9
15.0999999999999,11.1,822.2,277.9
15.0999999999999,16.1,815.2,273.9
15.0999999999999,13.1,682.2,318.9
14.0999999999999,13.1,816.2,276.9
18.0999999999999,14.1,807.2,276.9
16.0999999999999,15.1,803.2,278.9
15.0999999999999,17.1,799.2,281.9
16.0999999999999,13.1,794.2,284.9
17.0999999999999,14.1,794.2,275.9
18.0999999999999,14.1,793.2,275.9
12,14,785.3,270
13.0999999999999,12.1,779.2,264.9
9.09999999999991,11.1,777.2,263.9
14.0999999999999,15.1,683.2,329.9
10.0999999999999,10.1,770.2,261.9
12.0999999999999,12.1,765.2,260.9
11.0999999999999,11.1,766.2,259.9
11.0999999999999,9.10000000000002,760.2,263.9
13.0999999999999,13.1,755.2,266.9
13.0999999999999,14.1,751.2,269.9
15.0999999999999,14.1,745.2,277.9
13.0999999999999,13.1,742.2,285.9
12.0999999999999,16.1,744.2,283.9
13.0999999999999,12.1,737.2,294.9
14.0999999999999,17.1,685.2,342.9
14.0999999999999,16.1,734.2,303.9
13.0999999999999,12.1,729.2,316.9
14.0999999999999,13,725.2,332
13.0999999999999,18.1,722.2,343.9
12.0999999999999,20.1,722.2,342.9
10.0999999999999,19.1,719.2,357.9
11.0999999999999,18.1,714.2,375.9
10.0999999999999,19.1,711.2,392.9
13.0999999999999,20.1,706.2,412.9
12.0999999999999,15.1,702.2,433.9
10.0999999999999,12.1,686.2,343.9
10.0999999999999,15.1,704.2,434.9
12.0999999999999,14.1,699.2,454.9
12.0999999999999,15.1,692.2,498.9
26.0999999999999,28.1,617.2,283.9
13.0999999999999,25.1,604.2,236.9
12,35,594.3,198
12.0999999999999,19.1,687.2,356.9
14.0999999999999,23.1,579.2,171.9
12.0999999999999,23.1,570.2,145.9
15.0999999999999,23.1,569.2,145.9
13.0999999999999,22.1,560.2,122.9
12.0999999999999,20.1,553.2,106.9
10.0999999999999,17.1,545.2,89.9
15.0999999999999,17.1,536.2,78.9
12.0999999999999,13.1,531.2,70.9
13.0999999999999,14.1,525.2,62.9
9.09999999999991,17.1,526.2,58.9
11.0999999999999,16.1,688.2,375.9
10.0999999999999,12.1,520.2,55.9
18.1,13.1,511.2,50.9
10.1,15.1,509.2,48.9
9.09999999999997,12.1,505.2,47.9
12.1,13.1,499.2,47.9
13.1,15.1,497.2,46.9
12.1,13.1,495.2,49.9
11.1,11.1,490.2,53.9
12.1,12.1,486.2,57.9
11.1,11.1,484.2,63.9
8.09999999999991,9.10000000000002,690.2,393.9
9.10000000000002,11.1,481.2,71.9
10.1,9.09999999999999,481.2,72.9
11.1,13.1,478.2,78.9
10.1,12.1,475.2,87.9
9.10000000000002,13.1,473.2,96.9
10.1,12.1,470.2,109.9
11.1,13.1,467.2,120.9
10.1,13.1,467.2,120.9
8.10000000000002,14.1,467.2,133.9
18.1,18.1,463.2,146.9
27.1,11.1,496.2,158.9
20.0999999999999,9.09999999999999,536.2,161.9
18.0999999999999,9.09999999999999,567.2,166.9
20.0999999999999,11.1,566.2,165.9
18.0999999999999,10.1,594.2,171.9
19.0999999999999,12.1,617.2,177.9
17.0999999999999,11.1,640.2,185.9
16.0999999999999,14.1,660.2,191.9
14.0999999999999,10.1,679.2,202.9
12.0999999999999,14.1,680.2,200.9
17.0999999999999,13.1,694.2,211.9
15.0999999999999,15.1,710.2,221.9
16.0999999999999,15.1,725.2,233.9
15.0999999999999,16.1,739.2,246.9
10.0999999999999,14.1,754.2,260.9
9.09999999999991,13.1,756.2,261.9
12.0999999999999,19.1,764.2,273.9
11.0999999999999,19.1,777.2,288.9
14.0999999999999,17.1,786.2,306.9
12.0999999999999,18.1,798.2,324.9
11.0999999999999,15.1,806.2,342.9
13.0999999999999,14.1,805.2,343.9
12.0999999999999,18.1,815.2,362.9
12.0999999999999,15.1,823.2,382.9
9.09999999999991,21.1,834.2,403.9
11.0999999999999,15.1,841.2,425.9
11.0999999999999,19.1,848.2,446.9
12.0999999999999,20.1,847.2,447.9
14.0999999999999,18.1,852.2,471.9
14.0999999999999,18.1,859.2,493.9
14.0999999999999,25.1,863.2,463.9
11.0999999999999,19.1,862.2,418.9
13.0999999999999,21.1,863.2,394.9
12.0999999999999,21.1,862.2,393.9
11.0999999999999,22.1,859.2,367.9
12.0999999999999,15.1,858.2,348.9
12.0999999999999,14.1,860.2,329.9
10.0999999999999,14.1,864.2,315.9
