W,H,X,Y
16.0999999999999,24.1,697.2,338.9
12.0999999999999,25.1,699.2,338.9
16.0999999999999,20.1,689.2,376.9
12.0999999999999,12.1,672.2,280.9
12.0999999999999,12.1,650.2,307.9
13.0999999999999,10.1,650.2,316.9
13.0999999999999,10.1,647.2,316.9
13.0999999999999,14.1,623.2,339.9
11.0999999999999,13.1,617.2,324.9
13.0999999999999,14.1,610.2,313.9
15.0999999999999,14.1,608.2,314.9
11.0999999999999,12.1,604.2,305.9
14.0999999999999,14.1,597.2,298.9
14.0999999999999,13.1,590.2,293.9
14.0999999999999,14.1,674.2,284.9
14.0999999999999,16.1,585.2,289.9
15.0999999999999,12.1,579.2,290.9
13.0999999999999,14.1,580.2,288.9
16.0999999999999,13.1,574.2,290.9
13.0999999999999,13.1,571.2,292.9
12.0999999999999,11.1,567.2,296.9
11.0999999999999,13.1,565.2,300.9
13.0999999999999,15.1,560.2,304.9
13.0999999999999,12.1,560.2,307.9
12.0999999999999,10.1,559.2,315.9
13.0999999999999,14.1,676.2,290.9
11.0999999999999,14.1,554.2,321.9
11.0999999999999,13.1,561.2,318.9
15.0999999999999,25.1,593.2,275.9
9.09999999999991,27.1,636.2,278.9
12.0999999999999,23.1,633.2,280.9
23.0999999999999,14.1,640.2,223.9
16.0999999999999,14.1,665.2,200.9
17.0999999999999,16.1,684.2,182.9
19.0999999999999,17.1,700.2,167.9
19.0999999999999,16.1,717.2,158.9
14.0999999999999,13.1,676.2,290.9
19.0999999999999,16.1,716.2,155.9
23.0999999999999,17.1,729.2,147.9
23.0999999999999,14.1,744.2,141.9
15,15,762,134
19.0999999999999,15.1,773.2,132.9
20.0999999999999,18.1,785.2,128.9
16.0999999999999,15.1,786.2,130.9
18.0999999999999,14.1,796.2,132.9
17.0999999999999,17.1,809.2,134.9
18.0999999999999,18.1,818.2,137.9
15.0999999999999,16.1,678.2,297.9
19.0999999999999,17.1,828.2,145.9
21.0999999999999,17.1,837.2,152.9
17.0999999999999,21.1,839.2,151.9
14.0999999999999,16.1,849.2,162.9
18.0999999999999,19.1,856.2,172.9
16.0999999999999,22.1,864.2,185.9
16.0999999999999,20.1,874.2,202.9
17.0999999999999,21.1,879.2,217.9
14.0999999999999,21.1,881.2,216.9
16.0999999999999,20.1,887.2,234.9
